한글,영어,일어
알코올계,alcohol meter, アルコ－ル計
내알코올성,alcohol resistance, 耐アルコ－ル性
알코올레이트,alcoholate, アルコラ－ト
알코올뜸,alcoholic fermentation, アルコ－ル發酵
알코올성칼리,alcoholic potash, アルコ－ルカリ
알코올성오염,alcoholic stain, アルコ－ルステイン【塗】
알코올류,alcohols,
알코올로분해,alcoholysis, アルコ－リシス
알데하이드,aldehyde, アルデヒド
알데히드류,aldehydes,
알데히드산,aldehydic acid, アルデヒド酸
알도헥소오스,aldohexose,
알돌,aldol,
알돌축합,aldol condensation, アルト－ル縮合
알돌 반응,aldol reaction,
알돌라아제,aldolase, アルドラ－ゼ
알도펜토오스,aldopentose,
알도오스,aldose, タルド－ス
해조류 분류,algae classification,
알긴,algin,
알기닌산,alginic acid, アルギン酸
"계산순서, 알고리즘",algorithm,
지방족 고리화합물,alicyclic compound, 脂環式化合物
마춤,alignment,
마춤도표,alignment chart, 共線圖表
지방족,aliphatic,
지방족 화합물,aliphatic compound, 脂肪族化合物
지방족화합물,aliphatics, 脂肪族化合物
분취량,aliquot, アリコ－ ト
알라이트,alite, エ－ライト【セメント】
알리자린,alizarin,
알리자린 레이크,alizarin lake,
알칼리,alkali, アルカリ
알칼리끓임,alkali boiling, アルカリ精練
알칼리 전지,alkali cell,
알칼리세척,alkali cleaning, アルカリ洗淨
"알칼리용융, 알칼리녹임",alkali fusion, アルカリ融解
알칼리금속,alkali metals, アルカリ金屬
알칼리내성,alkali resistance, 耐アルカリ性
알칼리씻기,alkali washing, アルカリ洗淨
알칼리 정량,alkalimetry, アルカリ滴定
알칼리-,alkaline,
알칼리 건전지,alkaline dry cell,
알칼리 토금속,alkaline earth metal, アルカリ土類金屬
알칼리 오차,alkaline error,
알칼리반응,alkaline reaction,
알칼리 축전지,alkaline storage battery,
알칼리토금속,alkaline-earth metals,
알칼리도,alkalinity, アルカリ度
알칼리에 잘견디는,alkali-proof,
"알칼리용해도시험, 알칼리녹음시험",alkali-soluble test, アルカリ浸出試驗
알칼로이드,alkaloid, アルカロイド
알칸알,alkanal,
알케인,alkane, アルカン
알칸류,alkanes,
알칸올,alkanol,
알켄,alkene, アルケン
알켄류,alkenes,
알켄올,alkenol,
알콕사이드,alkoxide, アルコキシド
알콕시화물,alkoxides,
알콕시기,alkoxy group,
알콕실기,alkoxyl group, アルコキシル基
알콕시 수은화 (반응),alkoxymercuration,
알키드수지,alkyd resin, アルキド樹脂
