한글,영어,일어
흡수확률,absorption probability,吸?確率                                                                                                                                                                                                                                                           
추상적인,abstract,抽象的な                                                                                                                                                                                                                                                           
추상대수학,abstract algebra,抽象代數/抽象代?(?)                                                                                                                                                                                                                                                   
추상대수기하학,abstract algebraic geometry,抽象代?幾何(?)                                                                                                                                                                                                                                                      
추상자동체,abstract automaton,抽象オ?トマトン                                                                                                                                                                                                                                                       
추상부호,abstract code,抽象コ?ド                                                                                                                                                                                                                                                          
추상복체,abstract complex,抽象複?                                                                                                                                                                                                                                                           
추상군,abstract group,抽象群                                                                                                                                                                                                                                                            
추상구간함수,abstract interval function,抽象?間??                                                                                                                                                                                                                                                         
추상수학,abstract mathematics,純???                                                                                                                                                                                                                                                           
추상순서단순복체,abstract ordered simplicial complex,抽象順序??(的)複?                                                                                                                                                                                                                                                    
추상단체,abstract simplex,抽象??                                                                                                                                                                                                                                                           
추상 단체의 복합체,abstract simplicial complex,
추상 단체의 복체,abstract simplicial complex,
추상공간,abstract space,抽象空間                                                                                                                                                                                                                                                           
추상연산자,abstraction operator,抽象作用素                                                                                                                                                                                                                                                          
불합리한,absurd,不合理な                                                                                                                                                                                                                                                           
존재량,abundant number,"過剩數/過??                                                                                                                                                                                                                                                        ,過剩數/過??                                                                                                                                                                                                                                                        ,過剩數/過??                                                                                                                                                                                                                                                        "
과잉수,abundant number,"過剩數/過??                                                                                                                                                                                                                                                        ,過剩數/過??                                                                                                                                                                                                                                                        ,過剩數/過??                                                                                                                                                                                                                                                        "
초과수,abundant number,"過剩數/過??                                                                                                                                                                                                                                                        ,過剩數/過??                                                                                                                                                                                                                                                        ,過剩數/過??                                                                                                                                                                                                                                                        "
가속운동,accelerated motion,加速運動                                                                                                                                                                                                                                                           
가속된 누승법,accelerated power method,
가속도,acceleration,加速度                                                                                                                                                                                                                                                            
중력가속도,acceleration of gravity,重力加速度                                                                                                                                                                                                                                                          
합격 품질수준,acceptable quality level,合格品質水準                                                                                                                                                                                                                                                         
접수,acceptance,受入                                                                                                                                                                                                                                                             
합격검사,acceptance inspection,受入?査                                                                                                                                                                                                                                                           
합격한계,acceptance limit,受入限界                                                                                                                                                                                                                                                           
합격선,acceptance line,合格線                                                                                                                                                                                                                                                            
합격 판정수,acceptance number,"採?(個)?,合格判定個?                                                                                                                                                                                                                                                  ,採?(個)?,合格判定個?                                                                                                                                                                                                                                                  "
합격 판정개수,acceptance number,"採?(個)?,合格判定個?                                                                                                                                                                                                                                                  ,採?(個)?,合格判定個?                                                                                                                                                                                                                                                  "
합격확률,acceptance probability,受入確率                                                                                                                                                                                                                                                           
채택역,acceptance region,"採?域                                                                                                                                                                                                                                                            ,採?域                                                                                                                                                                                                                                                            "
채택영역,acceptance region,"採?域                                                                                                                                                                                                                                                            ,採?域                                                                                                                                                                                                                                                            "
접수범위,acceptance zone,合格域                                                                                                                                                                                                                                                            
